Year,Month,State,District,City,Facility_Category,Facility_Type,Facility_Name,Medicine_Name,Opening_Stock,Received,Consumption,Expired,Wasted,Lost,Closing_Stock,Nearing_Expiry,Reorder_Level
2024,January,Gujarat,Nagpur,Pune,PPP,Clinic,Sahyadri Hospital,Amoxicillin,1962,231,298,40,20,15,1820,7,296
2024,February,Tamil Nadu,Bangalore,Kochi,Central,Health Center,Sahyadri Hospital,Amoxicillin,296,320,130,93,13,59,321,15,403
2024,March,Tamil Nadu,Ahmedabad,Kochi,Central,Lab,Sahyadri Hospital,Amoxicillin,1674,344,73,23,43,41,1838,20,465
2024,April,Tamil Nadu,Mumbai,Mumbai,Central,Clinic,Sahyadri Hospital,Amoxicillin,379,148,297,63,40,42,85,10,309
2024,May,Karnataka,Mysore,Nagpur,Central,Hospital,Sahyadri Hospital,Amoxicillin,775,326,213,53,22,43,770,5,277
2024,June,Kerala,Kochi,Mysore,State,Health Center,Sahyadri Hospital,Amoxicillin,1928,410,67,53,17,22,2179,39,423
2024,July,Maharashtra,Ahmedabad,Nagpur,Central,Hospital,Sahyadri Hospital,Amoxicillin,1281,219,61,62,29,30,1318,43,241
2024,August,Karnataka,Mumbai,Pune,Central,Hospital,Sahyadri Hospital,Amoxicillin,429,224,413,72,12,16,140,42,369
2024,September,Kerala,Chennai,Nagpur,Central,Clinic,Sahyadri Hospital,Amoxicillin,375,189,234,66,14,56,194,8,207
2024,October,Karnataka,Mysore,Mumbai,PPP,Clinic,Sahyadri Hospital,Amoxicillin,1484,286,325,74,86,99,0,35,408
2024,November,Kerala,Bangalore,Ahmedabad,Central,Health Center,Sahyadri Hospital,Amoxicillin,1148,468,199,77,41,61,1238,41,423
2024,December,Gujarat,Mysore,Kochi,PPP,Lab,Sahyadri Hospital,Amoxicillin,1713,453,423,80,12,31,1620,8,345
2024,January,Maharashtra,Bangalore,Nagpur,PPP,Hospital,Sahyadri Hospital,Azithromycin,1828,430,468,54,89,91,1556,24,200
